Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1992","338400.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1993","334100.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1994","329800.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1995","325500.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1996","321200.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1997","316900.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1998","312600.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","1999","308300.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2000","304000.00","","Official data"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2001","299800.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2002","295600.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2003","291400.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2004","287200.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2005","283000.00","","Official data"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2006","278800.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2007","274600.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2008","270400.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2009","266200.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2010","262000.00","","Official data"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2011","257800.00","F","FAO estimate"
"GF","Forest Land","1","Armenia","5026","Area","6751","Forest","2012","253600.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1990","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1991","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1992","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1993","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1994","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1995","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1996","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1997","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1998","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","1999","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","2000","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","2001","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","2002","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","2003","1350000.00","F","FAO estimate"
"GF","Forest Land","2","Afghanistan","5026","Area","6751","Forest","2004","1350000.00","F","FAO estimate"
